,Title,Genre,Duration,Rating,Votes
0,Dune: Part Two,Mystery,2h 46m,8.5,(610K)
1,Venom: The Last Dance,Mystery,1h 50m,6.0,(105K)
2,Gladiator II,Mystery,2h 28m,6.6,(213K)
3,Sonic the Hedgehog 3,Mystery,1h 50m,6.9,(51K)
4,The Lord of the Rings: The War of the Rohirrim,Mystery,2h 14m,6.3,(27K)
5,William Tell,Mystery,2h 13m,5.8,(1.4K)
6,Kraven the Hunter,Mystery,2h 7m,5.4,(42K)
7,Pushpa: The Rule - Part 2,Mystery,3h 21m,6.1,(53K)
8,Furiosa: A Mad Max Saga,Mystery,2h 28m,7.5,(278K)
9,Elevation,Mystery,1h 31m,5.6,(19K)
10,Borderlands,Mystery,1h 41m,4.7,(44K)
11,Deadpool & Wolverine,Mystery,2h 8m,7.6,(478K)
12,The Ministry of Ungentlemanly Warfare,Mystery,2h 2m,6.8,(131K)
13,Civil War,Mystery,1h 49m,7.0,(231K)
14,The Count of Monte-Cristo,Mystery,2h 58m,7.6,(32K)
15,Twisters,Mystery,2h 2m,6.5,(159K)
16,Carry-On,Mystery,1h 59m,6.5,(158K)
17,The Crow,Mystery,1h 51m,4.7,(32K)
18,Marco,Mystery,2h 25m,7.0,(20K)
19,The Fall Guy,Mystery,2h 6m,6.8,(215K)
20,The Beekeeper,Mystery,1h 45m,6.3,(152K)
21,Kingdom of the Planet of the Apes,Mystery,2h 25m,6.9,(149K)
22,Madame Web,Mystery,1h 56m,4.0,(99K)
23,Homestead,Mystery,1h 52m,5.4,(3.2K)
24,Rebel Ridge,Mystery,2h 11m,6.8,(85K)
25,Red One,Mystery,2h 3m,6.3,(137K)
26,Thelma,Mystery,1h 38m,7.0,(21K)
27,Hellboy: The Crooked Man,Mystery,1h 39m,4.5,(12K)
28,Old Guy,Mystery,1h 34m,5.1,(1.5K)
29,Road House,Mystery,2h 1m,6.2,(165K)
30,Transformers One,Mystery,1h 44m,7.6,(47K)
31,Attack on Titan the Movie: The Last Attack,Mystery,2h 25m,9.3,(14K)
32,Bad Boys: Ride or Die,Mystery,1h 55m,6.5,(98K)
33,Argylle,Mystery,2h 19m,5.6,(91K)
34,Damsel,Mystery,1h 50m,6.1,(108K)
35,Solo Leveling: ReAwakening,Mystery,2h 1m,8.7,(6K)
36,Monkey Man,Mystery,2h 1m,6.8,(90K)
37,Love Lies Bleeding,Mystery,1h 44m,6.6,(55K)
38,Aftermath,Mystery,1h 37m,5.1,(3.3K)
39,Godzilla x Kong: The New Empire,Mystery,1h 55m,6.1,(119K)
40,Baby John,Mystery,2h 39m,5.4,(17K)
41,The Union,Mystery,1h 47m,5.4,(52K)
42,Freaky Tales,Mystery,1h 46m,6.5,(362)
43,Land of Bad,Mystery,1h 53m,6.6,(50K)
44,The Killer's Game,Mystery,1h 44m,5.7,(16K)
45,Absolution,Mystery,1h 52m,5.2,(7.3K)
46,Azrael,Mystery,1h 26m,5.4,(10K)
47,Drive-Away Dolls,Mystery,1h 24m,5.4,(23K)
48,Uglies,Mystery,1h 40m,4.7,(32K)
