,Title,Genre,Duration,Rating,Votes
0,Dune: Part Two,Action,2h 46m,8.5,(610K)
1,Venom: The Last Dance,Action,1h 50m,6.0,(105K)
2,Gladiator II,Action,2h 28m,6.6,(213K)
3,Sonic the Hedgehog 3,Action,1h 50m,6.9,(51K)
4,The Lord of the Rings: The War of the Rohirrim,Action,2h 14m,6.3,(27K)
5,William Tell,Action,2h 13m,5.8,(1.4K)
6,Kraven the Hunter,Action,2h 7m,5.4,(42K)
7,Pushpa: The Rule - Part 2,Action,3h 21m,6.1,(53K)
8,Furiosa: A Mad Max Saga,Action,2h 28m,7.5,(278K)
9,Elevation,Action,1h 31m,5.6,(19K)
10,Borderlands,Action,1h 41m,4.7,(44K)
11,Deadpool & Wolverine,Action,2h 8m,7.6,(478K)
12,The Ministry of Ungentlemanly Warfare,Action,2h 2m,6.8,(131K)
13,Civil War,Action,1h 49m,7.0,(231K)
14,The Count of Monte-Cristo,Action,2h 58m,7.6,(32K)
15,Twisters,Action,2h 2m,6.5,(159K)
16,Carry-On,Action,1h 59m,6.5,(158K)
17,The Crow,Action,1h 51m,4.7,(32K)
18,Marco,Action,2h 25m,7.0,(20K)
19,The Fall Guy,Action,2h 6m,6.8,(215K)
20,The Beekeeper,Action,1h 45m,6.3,(152K)
21,Kingdom of the Planet of the Apes,Action,2h 25m,6.9,(149K)
22,Madame Web,Action,1h 56m,4.0,(99K)
23,Homestead,Action,1h 52m,5.4,(3.2K)
24,Rebel Ridge,Action,2h 11m,6.8,(85K)
25,Red One,Action,2h 3m,6.3,(137K)
26,Thelma,Action,1h 38m,7.0,(21K)
27,Hellboy: The Crooked Man,Action,1h 39m,4.5,(12K)
28,Old Guy,Action,1h 34m,5.1,(1.5K)
29,Road House,Action,2h 1m,6.2,(165K)
30,Transformers One,Action,1h 44m,7.6,(47K)
31,Attack on Titan the Movie: The Last Attack,Action,2h 25m,9.3,(14K)
32,Bad Boys: Ride or Die,Action,1h 55m,6.5,(98K)
33,Argylle,Action,2h 19m,5.6,(91K)
