Title,Genre,Duration,Rating,Votes
Dark Match,Comedy,1h 34m,5.5,(812)
The Thundermans Return,Comedy,1h 10m,5.0,(1.8K)
Deep Six,Comedy,1h 34m,3.4,(210)
Code 8: Part II,Comedy,1h 40m,5.7,(16K)
The Fix,Comedy,1h 38m,4.6,(1.1K)
Singham Again,Comedy,2h 24m,4.8,(75K)
Rifle Club,Comedy,1h 53m,7.0,(3.9K)
Simarik,Comedy,1h 51m,6.4,(2.3K)
Hounds of War,Comedy,1h 35m,4.5,(1.7K)
Sikandar ka Muqaddar,Comedy,2h 22m,6.0,(24K)
Drive Back,Comedy,1h 34m,4.7,(286)
Rats!,Comedy,1h 25m,8.2,(74)
Justice League: Crisis on Infinite Earths - Part One,Comedy,1h 33m,6.2,(8.3K)
Prey,Comedy,1h 26m,3.7,(3.2K)
Badland Hunters,Comedy,1h 47m,5.9,(12K)
The Lost Tiger,Comedy,1h 30m,7.8,(31)
The Courier,Comedy,1h 41m,6.0,(4.3K)
The Roundup: Punishment,Comedy,1h 49m,6.6,(5K)
Raayan,Comedy,2h 25m,6.5,(11K)
Darkness of Man,Comedy,1h 49m,4.8,(3.1K)
Cells at Work!,Comedy,1h 49m,6.8,(157)
Officer Black Belt,Comedy,1h 48m,6.8,(7.9K)
The Prosecutor,Comedy,1h 57m,6.8,(1.3K)
Duchess,Comedy,1h 54m,4.6,(1.2K)
Justice League: Crisis on Infinite Earths - Part Three,Comedy,1h 34m,6.1,(4.3K)
The Price of Money: A Largo Winch Adventure,Comedy,1h 40m,5.1,(1K)
The Wages of Fear,Comedy,1h 44m,4.6,(4K)
Bougainvillea,Comedy,2h 18m,6.4,(3K)
The Quiet Ones,Comedy,1h 50m,6.5,(502)
Pani,Comedy,2h 23m,6.9,(2.7K)
The Tiger's Apprentice,Comedy,1h 24m,5.8,(2.1K)
Arena Wars,Comedy,1h 36m,5.0,(2K)
Devara Part 1,Comedy,2h 56m,6.0,(20K)
Karma,Comedy,2h 47m,8.1,(1.4K)
City Hunter,Comedy,1h 42m,6.3,(5.5K)
"I, the Executioner",Comedy,1h 58m,6.3,(1.5K)
One Fast Move,Comedy,1h 48m,5.0,(2.2K)
One More Shot,Comedy,1h 43m,5.4,(3.5K)
Golden Kamuy,Comedy,2h 7m,6.3,(2.5K)
Utopia,Comedy,1h 31m,3.7,(335)
Cloud,Comedy,2h 3m,6.3,(882)
Fight Another Day,Comedy,1h 37m,5.1,(320)
Article 370,Comedy,2h 38m,7.8,(24K)
Air Force One Down,Comedy,1h 24m,4.4,(2.8K)
Lights Out,Comedy,1h 30m,4.9,(1.7K)
Ultraman: Rising,Comedy,1h 57m,6.9,(6.2K)
200% Wolf,Comedy,1h 38m,6.0,(1.3K)
Fighter,Comedy,2h 46m,6.2,(52K)
Life After Fighting,Comedy,2h 6m,6.4,(1.9K)
Continental Split,Comedy,1h 28m,3.5,(531)
Die Hart: Die Harter,Comedy,1h 32m,4.3,(5.4K)
The Family Star,Comedy,2h 39m,5.4,(5.4K)
Zero,Comedy,1h 28m,6.1,(37)
Angels Fallen: Warriors of Peace,Comedy,1h 43m,4.9,(5.8K)
Latency,Comedy,1h 34m,4.2,(1.7K)
Kill Em All 2,Comedy,1h 28m,4.1,(1.3K)
Echo 8,Comedy,1h 36m,5.5,(156)
Agent Recon,Comedy,1h 25m,2.4,(656)
Dan Da Dan: First Encounter,Comedy,1h 23m,8.2,(2.5K)
Murder Company,Comedy,1h 26m,3.6,(1.5K)
Ferry 2,Comedy,1h 34m,5.6,(3.7K)
Operation Blood Hunt,Comedy,1h 33m,3.4,(453)
Freedom,Comedy,1h 50m,5.9,(1.3K)
Get Fast,Comedy,1h 28m,3.6,(432)
Hijack 1971,Comedy,1h 40m,6.8,(3.2K)
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,Comedy,2h 54m,8.2,(642)
Anaconda,Comedy,1h 24m,4.9,(599)
Alien: Rubicon,Comedy,1h 26m,2.4,(327)
A Legend,Comedy,2h 9m,4.7,(852)
Alangu,Comedy,2h 11m,8.3,(1.1K)
Wynonna Earp: Vengeance,Comedy,1h 36m,5.6,(1.5K)
Jigra,Comedy,2h 33m,6.0,(23K)
Striking Rescue,Comedy,1h 46m,5.7,(317)
Diabel,Comedy,1h 48m,5.1,(192)
The Clean Up Crew,Comedy,1h 35m,4.1,(1.1K)
The Hangman,Comedy,1h 32m,3.3,(983)
Justice League: Crisis on Infinite Earths - Part Two,Comedy,1h 34m,5.5,(5.2K)
Invasion,Comedy,1h 31m,4.8,(662)
Savi,Comedy,2h 6m,6.2,(35K)
Spiders on a Plane,Comedy,1h 18m,5.9,(358)
Agni,Comedy,2h 2m,7.3,(15K)
Revolver,Comedy,1h 54m,5.4,(815)
Terminator: Skynet Rising,Comedy,1h 28m,6.8,(257)
Hanu Man,Comedy,2h 38m,7.7,(29K)
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Comedy,1h 44m,7.1,(8.2K)
Sixty Minutes,Comedy,1h 28m,5.7,(5.1K)
Escape,Comedy,1h 34m,6.4,(1.9K)
Murder at Hollow Creek,Comedy,N/A,4.2,(77)
The Last Kumite,Comedy,1h 45m,4.6,(2.3K)
London Calling,Comedy,1h 49m,6.5,(8)
Outlaw,Comedy,1h 22m,5.2,(897)
The Greatest of All Time,Comedy,3h 3m,5.8,(22K)
Overlord: The Sacred Kingdom,Comedy,2h 15m,7.0,(693)
72 Hours,Comedy,1h 27m,4.1,(279)
Cassino in Ischia,Comedy,1h 53m,4.4,(229)
Vettaiyan,Comedy,2h 43m,7.0,(39K)
Baby Invasion,Comedy,1h 20m,5.4,(51)
Heart of the Hunter,Comedy,1h 45m,4.7,(2.1K)
Alienoid: The Return to the Future,Comedy,2h 2m,6.5,(2.5K)
Handsome Guys,Comedy,1h 41m,6.5,(738)
Snow White and the Seven Samurai,Comedy,1h 28m,3.2,(259)
Operation Undead,Comedy,1h 50m,4.6,(346)
Wanted Man,Comedy,1h 25m,4.8,(2.5K)
Razakar: The Silent Genocide of Hyderabad,Comedy,2h 46m,7.4,(5.2K)
"Love, Courage and the Battle of Bushy Run",Comedy,1h 53m,5.0,(168)
Bagheera,Comedy,2h 38m,6.7,(7.2K)
Kingdom 4: Return of the Great General,Comedy,2h 25m,7.1,(1.2K)
The Lockdown,Comedy,1h 57m,4.3,(593)
War of the Worlds: Extinction,Comedy,1h 24m,3.0,(170)
Ryan's World the Movie: Titan Universe Adventure,Comedy,1h 20m,1.8,(629)
Viduthalai Part 2,Comedy,2h 50m,8.0,(15K)
GTMax,Comedy,1h 40m,5.0,(1.2K)
Yodha,Comedy,2h 10m,5.7,(8.8K)
The Last Front,Comedy,1h 38m,5.5,(596)
Mura,Comedy,2h 9m,7.3,(6.2K)
The Last Ronin,Comedy,2h 1m,4.9,(218)
Vanvaas,Comedy,2h 40m,6.7,(1K)
Nice Girls,Comedy,1h 32m,4.2,(1.2K)
The Ballad of Davy Crockett,Comedy,1h 36m,4.6,(242)
12 Gaun,Comedy,2h 27m,6.3,(862)
Saripodhaa Sanivaaram,Comedy,2h 46m,7.0,(8.8K)
Chandu Champion,Comedy,2h 22m,7.8,(34K)
Sunset Superman,Comedy,1h 21m,6.1,(141)
Everybody Loves Jenifa,Comedy,2h 15m,8.4,(77)
Thangalaan,Comedy,2h 36m,6.6,(6.5K)
Kanguva,Comedy,2h 32m,4.6,(14K)
Je jatt Vigarh gya,Comedy,2h 12m,5.7,(811)
Guntur Karam,Comedy,2h 39m,5.4,(25K)
A.R.M,Comedy,2h 30m,7.1,(8.5K)
Vedaa,Comedy,2h 25m,6.0,(4.2K)
Devaki Nandana Vasudeva,Comedy,2h 8m,8.9,(2.7K)
Rogue Elements: A Ryan Drake Story,Comedy,44m,4.9,(911)
Memes & Nightmares,Comedy,1h 21m,5.7,(71)
12 to Midnight,Comedy,1h 36m,3.6,(270)
Mission: Cross,Comedy,1h 45m,6.1,(2.5K)
Roadkill,Comedy,1h 30m,3.6,(671)
Sobanggwan,Comedy,1h 46m,5.9,(140)
Escape from the 21st Century,Comedy,1h 38m,6.5,(797)
UI,Comedy,2h 15m,6.9,(5.6K)
Bachhala Malli,Comedy,2h 20m,8.3,(3.9K)
Lady Scorpions,Comedy,1h 41m,3.6,(360)
How to Rob a Bank,Comedy,1h 28m,6.6,(4.1K)
Shark Warning,Comedy,1h 34m,3.4,(245)
Alien Country,Comedy,1h 36m,4.4,(347)
WWII: Operation Phoenix,Comedy,1h 46m,6.7,(61)
Khadaan,Comedy,2h 17m,7.4,(1.9K)
Bionic,Comedy,1h 50m,4.3,(1.7K)
The Bouncer,Comedy,1h 18m,4.3,(80)
Mother Mafia,Comedy,1h 20m,3.3,(46)
Martin,Comedy,2h 27m,2.3,(36K)
Kuang Bao Ju Xi,Comedy,1h 15m,6.2,(66)
Sector 17,Comedy,2h 26m,7.4,(1.3K)
Yolo,Comedy,2h 9m,6.9,(3.6K)
Bade Miyan Chote Miyan,Comedy,2h 43m,3.8,(39K)
Baby Assassins: Nice Days,Comedy,1h 43m,7.3,(263)
The Twisters,Comedy,1h 26m,2.5,(314)
Hattichhap,Comedy,N/A,8.8,(747)
Hunting with Tigers,Comedy,1h 49m,5.6,(500)
