,Title,Genre,Duration,Rating,Votes
0,Dune: Part Two,Thriller,2h 46m,8.5,(610K)
1,Venom: The Last Dance,Thriller,1h 50m,6.0,(105K)
2,Gladiator II,Thriller,2h 28m,6.6,(213K)
3,Sonic the Hedgehog 3,Thriller,1h 50m,6.9,(51K)
4,The Lord of the Rings: The War of the Rohirrim,Thriller,2h 14m,6.3,(27K)
5,William Tell,Thriller,2h 13m,5.8,(1.4K)
6,Kraven the Hunter,Thriller,2h 7m,5.4,(42K)
7,Pushpa: The Rule - Part 2,Thriller,3h 21m,6.1,(53K)
8,Furiosa: A Mad Max Saga,Thriller,2h 28m,7.5,(278K)
9,Elevation,Thriller,1h 31m,5.6,(19K)
10,Borderlands,Thriller,1h 41m,4.7,(44K)
11,Deadpool & Wolverine,Thriller,2h 8m,7.6,(478K)
12,The Ministry of Ungentlemanly Warfare,Thriller,2h 2m,6.8,(131K)
13,Civil War,Thriller,1h 49m,7.0,(231K)
14,The Count of Monte-Cristo,Thriller,2h 58m,7.6,(32K)
15,Twisters,Thriller,2h 2m,6.5,(159K)
16,Carry-On,Thriller,1h 59m,6.5,(158K)
17,The Crow,Thriller,1h 51m,4.7,(32K)
18,Marco,Thriller,2h 25m,7.0,(20K)
19,The Fall Guy,Thriller,2h 6m,6.8,(215K)
20,The Beekeeper,Thriller,1h 45m,6.3,(152K)
21,Kingdom of the Planet of the Apes,Thriller,2h 25m,6.9,(149K)
22,Madame Web,Thriller,1h 56m,4.0,(99K)
23,Homestead,Thriller,1h 52m,5.4,(3.2K)
24,Rebel Ridge,Thriller,2h 11m,6.8,(85K)
25,Red One,Thriller,2h 3m,6.3,(137K)
26,Thelma,Thriller,1h 38m,7.0,(21K)
27,Hellboy: The Crooked Man,Thriller,1h 39m,4.5,(12K)
28,Old Guy,Thriller,1h 34m,5.1,(1.5K)
29,Road House,Thriller,2h 1m,6.2,(165K)
30,Transformers One,Thriller,1h 44m,7.6,(47K)
31,Attack on Titan the Movie: The Last Attack,Thriller,2h 25m,9.3,(14K)
32,Bad Boys: Ride or Die,Thriller,1h 55m,6.5,(98K)
33,Argylle,Thriller,2h 19m,5.6,(91K)
34,Damsel,Thriller,1h 50m,6.1,(108K)
35,Solo Leveling: ReAwakening,Thriller,2h 1m,8.7,(6K)
36,Monkey Man,Thriller,2h 1m,6.8,(90K)
37,Love Lies Bleeding,Thriller,1h 44m,6.6,(55K)
38,Aftermath,Thriller,1h 37m,5.1,(3.3K)
39,Godzilla x Kong: The New Empire,Thriller,1h 55m,6.1,(119K)
40,Baby John,Thriller,2h 39m,5.4,(17K)
41,The Union,Thriller,1h 47m,5.4,(52K)
42,Freaky Tales,Thriller,1h 46m,6.5,(362)
43,Land of Bad,Thriller,1h 53m,6.6,(50K)
44,The Killer's Game,Thriller,1h 44m,5.7,(16K)
45,Absolution,Thriller,1h 52m,5.2,(7.3K)
46,Azrael,Thriller,1h 26m,5.4,(10K)
47,Drive-Away Dolls,Thriller,1h 24m,5.4,(23K)
48,Uglies,Thriller,1h 40m,4.7,(32K)
49,Blitz,Thriller,2h,6.2,(15K)
50,Arcadian,Thriller,1h 32m,5.5,(22K)
51,Werewolves,Thriller,1h 33m,4.4,(5.9K)
52,Kung Fu Panda 4,Thriller,1h 34m,6.3,(66K)
53,Descendants: The Rise of Red,Thriller,1h 31m,4.7,(6.9K)
54,The Killer,Thriller,2h 6m,5.7,(12K)
55,Lift,Thriller,1h 47m,5.5,(49K)
56,Beverly Hills Cop: Axel F,Thriller,1h 58m,6.4,(80K)
57,The Instigators,Thriller,1h 41m,6.2,(37K)
